Reference Designator,Quantity,Manufacturer,Manufacturer Part Number,Description,Package,Type
C1,1,Samsung Electro-Mechanics,CL21B106KQQNNNG,CAP CER 10UF 6.3V X7R 0805,0805,SMD
"C2,C3",1,Samsung Electro-Mechanics,CL10B105KQ8NNNC,CAP CER 1UF 6.3V X7R 0603,0603,SMD
"C4,C5,C8,C9",4,Samsung Electro-Mechanics,CL10B104KO8NNNC,CAP CER 0.1UF 16V X7R 0603,0603,SMD
C6,1,Samsung Electro-Mechanics,CL10C1R5BB8NNNC,CAP CER 1.5PF 50V C0G/NP0 0603,0603,SMD
C7,1,Samsung Electro-Mechanics,CL10CR75CB8NNNC,CAP CER 0.75PF 50V C0G/NP0 0603,0603,SMD
ESP,1,Espressif Systems,ESP32-PICO-D4,ESP32 WIFI BLUETOOTH,,SMD
L1,1,Murata Electronics,LQW18AN7N5D00D,FIXED IND 7.5NH 750MA 82 MOHM,0603,SMD
PWR,1,Lumex Opto/Components Inc.,SML-LX0603GW-TR,LED GREEN DIFFUSED SMD,0603,SMD
R1,1,Yageo,RC0603FR-071KL,RES SMD 1K OHM 1% 1/10W 0603,0603,SMD
R2,1,Yageo,RC0603FR-0710KL,RES SMD 10K OHM 1% 1/10W 0603,0603,SMD
RST,1,C&K,KMR211GLFS,SWITCH TACTILE SPST-NO 0.05A 32V,,SMD
U1,1,Diodes Incorporated,AZ1117CR-3.3TRG1,IC REG LINEAR 3.3V 800MA SOT89,SOT89,SMD
U2,1,ON Semiconductor,MUN5214DW1T1G,TRANS 2NPN PREBIAS 0.25W SOT363,SOT363,SMD
U3,1,Silicon Labs,CP2104-F03-GMR,IC SGL USB-TO-UART BRIDGE 24QFN,24QFN,SMD
U4,1,Lyontek Inc.,LY68L6400SLIT,Volatile 64Mb (8M x 8) SPI/ QPI 2.7V ~ 3.6V SOP-8_150mil RAM RoHS,SOP8,SMD