Comment,Description,Designator,Footprint
,,,
10uF (106) ±10% 25V X5R,CAP CER 10UF 6.3V X7R 0805,C1,0805
1uF 0603,CAP CER 1UF 6.3V X7R 0603,"C2,C3",0603
0.1uF 0603,CAP CER 0.1UF 16V X7R 0603,"C4,C5,C8,C9",0603
1.5pF 0603,CAP CER 1.5PF 50V C0G/NP0 0603,C6,0603
0.75pF 0603,CAP CER 0.75PF 50V C0G/NP0 0603,C7,0603
ESP32-Pico-D4,ESP32 WIFI BLUETOOTH,ESP,
7.5nH 0603,FIXED IND 7.5NH 750MA 82 MOHM,L1,0603
LED 0603,LED GREEN DIFFUSED SMD,PWR,0603
1K 0603,RES SMD 1K OHM 1% 1/10W 0603,R1,0603
10K 0603,RES SMD 10K OHM 1% 1/10W 0603,R2,0603
SWITCH TACTILE SPST-NO 0.05A 32V,SWITCH TACTILE SPST-NO 0.05A 32V,RST,
AMS1117,IC REG LINEAR 3.3V 800MA SOT89,U1,SOT89
TRANS 2NPN PREBIAS 0.25W SOT363,TRANS 2NPN PREBIAS 0.25W SOT363,U2,SOT363
IC SGL USB-TO-UART BRIDGE 24QFN,IC SGL USB-TO-UART BRIDGE 24QFN,U3,24QFN
Volatile 64Mb (8M x 8) SPI/ QPI 2.7V ~ 3.6V SOP-8_150mil RAM RoHS,Volatile 64Mb (8M x 8) SPI/ QPI 2.7V ~ 3.6V SOP-8_150mil RAM RoHS,U4,SOP8