Comment,Designator,Footprint,LCSC Part #
10uF (106) ±10% 25V X5R,C1,805,C15850
1uF 0603,"C2,C3",603,C15849
0.1uF 0603,"C4,C5,C8,C9",603, C14663
1.5pF 0603,C6,603,C1639
0.75pF 0603,C7,603,C170124
ESP32-Pico-D4,ESP,,C193707
7.5nH 0603,L1,603,C395093
LED 0603,PWR,603,C72043
1K 0603,R1,603,C21190
10K 0603,R2,603,C25804
KMR211GLFS SWITCH TACTILE SPST-NO 0.05A 32V,RST,,
AMS1117,U1,SOT89,C108493
MUN5214DW1T1G TRANS 2NPN PREBIAS 0.25W SOT363,U2,SOT363,C94403
CP2104 IC SGL USB-TO-UART BRIDGE 24QFN,U3,24QFN,C47742
LY68L6400SLT Volatile 64Mb (8M x 8) SPI/ QPI 2.7V ~ 3.6V SOP-8_150mil RAM RoHS,U4,SOP8,C261881