Designator,Mid X,Mid Y,Layer,Rotation
C1,-39.62,19.05,Top,270
C2,-42.93,25.27,Top,90
C3,-37.06,30.35,Top,0
C4,-16.89,23.37,Top,0
C5,-17.25,26.47,Top,90
C6,-13.82,21.74,Top,0
C7,-16.36,20.85,Top,270
C8,-28.83,28.58,Top,90
C9,-34.29,19.05,Top,270
C10,-43.43,29.59,Top,270
ESP,-22.86,24.13,Top,180
L1,-11.28,20.85,Top,270
PWR,-30.86,29.59,Top,0
R1,-40.89,30.35,Top,0
R2,-33.4,30.35,Top,0
RST,-46.23,28.32,Top,90
U1,-39.41,25.83,Top,270
U2,-17.91,17.78,Top,270
U3,-30.81,18.69,Top,270
U4,-31.37,24.51,Top,270